C_Class_Name,C_Model_Number,C_SKU_Name,C_SKU_Nbr,C_Sub_Class_2,C_Sub_Class_Nbr,C_dept_2,C_Sales_Units,C_Str_OH_units_wkly
PRESSURE TREATED/DECKING,107362,5/4X6-12FT PREM RED PT WTHRSHLD,362804,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,423678.0,7318.0
PRESSURE TREATED/DECKING,UNKNOWN,2X4-8FT CEDAR PREMIUM S4S,731867,021-020-010-CEDAR,021-020-010,21-LUMBER,243849.0,13598.0
FENCING,UNKNOWN,FENCE POST CONCRETE MOUNT,160976,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,,
FENCING,424118,7/16 IN. X 5.3 IN. X 6 FT. MOJAVE RI,1005621898,021-008-016-OTHER FENCE,021-008-016,21-LUMBER,4.0,
FENCING,186751,8 IN. X 8 IN. X 42 IN. COMPOSITE GRA,1000345288,021-008-016-OTHER FENCE,021-008-016,21-LUMBER,145.0,
LANDSCAPE,125965,104 IN. ADOBE HANDRAIL WITH ALUMINUM,1001582306,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,23.0,
PRESSURE TREATED/DECKING,224635,4 IN. X 4 IN. X 4-1/2 FT. CEDAR EASE,1001404903,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,5827.0,
FENCING,153621,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345115,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,6.0,
FENCING,UNKNOWN,DIS 3-1/2'X8' CEDAR FG SPACED PICKET,1001194327,021-008-018-EVENTS,021-008-018,21-LUMBER,1.0,
FENCING,438818,19/32 IN. X 5.3 IN. X 6 FT. PRAIRIE,1005931120,021-008-016-OTHER FENCE,021-008-016,21-LUMBER,31.0,
BOARDS,345576,1 IN. X 6 IN. X 8 FT. TIMELESS PRIME,1003912177,021-005-010-HARDWOOD,021-005-010,21-LUMBER,80.0,
BOARDS,276585,1 IN. X 8 IN. X 8 FT. EASED EDGE PIN,1002185276,021-005-010-HARDWOOD,021-005-010,21-LUMBER,14419.0,
FENCING,153809,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000344853,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,20.0,
PLYWOOD,237643,3/4 IN. X 3 FT. BC PINE PLYWOOD ROUN,1001713576,021-001-060-S/O PLYWOOD,021-001-060,21-LUMBER,37.0,
LANDSCAPE,125964,104 IN. TAN HANDRAIL WITH ALUMINUM I,1001582305,021-007-060-S/O LANDSCAPE,021-007-060,21-LUMBER,21.0,
FENCING,153632,PRO SERIES 6 FT. X 4 FT. ANAHEIM GRE,1000345257,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,0.0,
PRESSURE TREATED/DECKING,UNKNOWN,2X6-16FT CEDAR S4S GRN STK,338555,021-020-010-CEDAR,021-020-010,21-LUMBER,27701.0,1930.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-10FT #1 PT WEATHERSHIELD GC,1001787126,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,565186.0,7164.0
FENCING,125945,1-1/2 OZ. VINYL FENCE CEMENT,1000342196,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,3536.0,0.0
PATIO FURNITURE,372815,6' DELUXE WOOD PICNIC TABLE,1004313264,028-026-004-CLASSIC PATIO,028-026-004,28-SEASONAL/GARDEN,8047.0,7.0
BOARDS,276584,1 IN. X 8 IN. X 6 FT. EASED EDGE PIN,1002185254,021-005-010-HARDWOOD,021-005-010,21-LUMBER,1373.0,0.0
DIMENSIONAL LUMBER,UNKNOWN,4X10-12FT #1 PRIME DOUG FIR,139739,021-003-004-TIMBERS,021-003-004,21-LUMBER,,
BOARDS,99453,"8"" WHITE SLATWALL HOOK",410365,021-005-020-SPECIALTY,021-005-020,21-LUMBER,11031.0,1153.0
BOARDS,UNKNOWN,1X12-12FT COMMON BOARD,458554,021-005-002-WHITEWOOD,021-005-002,21-LUMBER,1106.0,43.0
LAWN ACCESSORIES,158232,18 IN. L X 23 IN. W X 13 IN. H MEDIU,1000574439,028-023-008-LAWN DECOR,028-023-008,28-SEASONAL/GARDEN,7.0,0.0
FENCING,UNKNOWN,5/8X6X6 CEDAR PRE STAINED PICKET,727745,021-008-008-WRC PICKETS,021-008-008,21-LUMBER,794529.0,34043.0
LANDSCAPE,236612,SECONDARY HANDRAIL BLACK END CAP,1001687578,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,2765.0,2191.0
PRESSURE TREATED/DECKING,UNKNOWN,2X2-8FT CEDAR PREMIUM S4S,226573,021-020-010-CEDAR,021-020-010,21-LUMBER,98417.0,17321.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-16FT #1 PT WEATHERSHIELD,255457,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,51154.0,
CONCRETE,UNKNOWN,4INX100FT GROUT WEB FOR 6IN BLOCK,697377,022-009-009-CONCRETE FORMING PRODUCT,022-009-009,22-BUILDING MATERIALS,2764.0,483.0
PRESSURE TREATED/DECKING,UNKNOWN,1X8-12FT PT WEATHERSHIELD,131468,021-020-006-PT BOARDS,021-020-006,21-LUMBER,14129.17,
FENCING,144767,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000342072,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,31.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,6X6-8FT ROUGH RED PT PP,384070,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,215935.0,2817.0
PLYWOOD,UNKNOWN,5.5MM 2X4 UNDERLAYMENT,1001417918,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,216790.0,3072.0
LANDSCAPE,187582,4X4 WRC VERONA BLACK POST CAP,1000043811,021-007-006-SPECIALTY,021-007-006,21-LUMBER,23242.0,3881.0
LANDSCAPE,72330,PRESSURE-TREATED 4 IN. X 4 IN. PINE,1001731302,021-007-006-SPECIALTY,021-007-006,21-LUMBER,108.0,
FENCING,UNKNOWN,DIS 2 RAIL PT SPLIT RAIL END POST,1001219247,021-008-018-EVENTS,021-008-018,21-LUMBER,2.0,
PRESSURE TREATED/DECKING,186732,PRESSURE-TREATED 4 IN. X 4 IN. PINE,1000347470,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,60.0,
FENCING,425467,7/16 IN. X 5.3 IN. X 6 FT. PRIMED DO,1005621904,021-008-016-OTHER FENCE,021-008-016,21-LUMBER,171.0,
BOARDS,285847,1 IN. X 4 IN. X 4 FT. BARN WOOD RED,1002433237,021-005-010-HARDWOOD,021-005-010,21-LUMBER,19.0,
FENCING,154079,PRO SERIES 6 FT. X 5 FT. WHITE DOUBL,1002258417,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,45.0,
FENCING,154075,PRO SERIES 8 FT. X 5 FT. SINGLE WALK,1000345259,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,10.0,
BOARDS,285852,1 IN. X 4 IN. X 6 FT. BARN WOOD WHIT,1002433254,021-005-010-HARDWOOD,021-005-010,21-LUMBER,773.0,
FENCING,144707,PRO SERIES 6 FT. X 8 FT. VINYL WHITE,1000341877,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,12.0,
LANDSCAPE,235957,SECONDARY HANDRAIL WHITE BRACKET,1001643085,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,-10.0,
HARDSCAPES,204924,18 IN. X 23 IN. X 13 IN. FIBERLITE M,1001687409,028-028-005-LANDSCAPE ROCK,028-028-005,28-SEASONAL/GARDEN,923.0,
LAWN ACCESSORIES,376220,6 FT. PINE HEAVY-DUTY PLANT AND TREE,1004562411,028-023-011-PLANT SUPPORT AND CARE,028-023-011,28-SEASONAL/GARDEN,78.0,
LANDSCAPE,279488,DECK DRAWER HARDWARE KIT,1002804765,021-007-006-SPECIALTY,021-007-006,21-LUMBER,194.0,
PRESSURE TREATED/DECKING,153705,5 IN. X 5 IN. VINYL ANAHEIM WALNUT F,1000348083,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,34.0,
FENCING,118677,PRO SERIES 6 FT. X 4 FT. WOODBRIDGE,1000099425,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,189.0,0.0
LAWN ACCESSORIES,309164,"36"" BARRELL TRELLIS",1002806937,028-023-005-TRELLIS/SHEP HOOKS/ARBOR,028-023-005,28-SEASONAL/GARDEN,57436.0,3120.0
PRESSURE TREATED/DECKING,153703,5 IN. X 5 IN. VINYL ANAHEIM ADOBE FR,1000348046,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,3.0,0.0
OUTDOOR RECREATION,151680,OFFICIAL ACA SIZED BLACK CORN-FILLED,1001213941,021-018-002-KITS,021-018-002,21-LUMBER,134.0,0.0
LANDSCAPE,172977,6' PT STAIR RAIL KIT W/ALUM BALUSTER,1000043070,021-007-006-SPECIALTY,021-007-006,21-LUMBER,53383.0,3863.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-16FT CEDAR PREM RADIUS EDGE,731934,021-020-010-CEDAR,021-020-010,21-LUMBER,58471.0,5510.0
PRESSURE TREATED/DECKING,UNKNOWN,1X12-10FT PT WEATHERSHIELD,534829,021-020-006-PT BOARDS,021-020-006,21-LUMBER,2254.0,
PRESSURE TREATED/DECKING,163171,4X6-10FT #2 PT CEDAR-TONE GC_CS,1000006310,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,19717.0,885.0
PLYWOOD,214101,1/4 2X4 OKOUME VIROLA PLYWOOD,214101,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,62596.0,833.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-10FT STD PT WEATHERSHIELD,128692,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,1902183.3,14513.0
PLYWOOD,UNKNOWN,3/4 2X4 BIRCH PLYWOOD,958751,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,620146.0,16431.0
LAWN ACCESSORIES,156444,28 IN. L X 19 IN. W X 20 IN. H JUMBO,1000570705,028-023-008-LAWN DECOR,028-023-008,28-SEASONAL/GARDEN,9.0,0.0
FENCING,UNKNOWN,"5/8""X5-1/2""X5' #2 CEDAR DE PICKET",290939,021-008-008-WRC PICKETS,021-008-008,21-LUMBER,17924.0,328.0
DIMENSIONAL LUMBER,UNKNOWN,4X10-20FT #1 PRIME DOUG,139773,021-003-004-TIMBERS,021-003-004,21-LUMBER,,
FENCING,UNKNOWN,"5/8""X6""X8' #2 WR CEDAR DE PICKET",991886,021-008-008-WRC PICKETS,021-008-008,21-LUMBER,41342.0,25.0
LAWN ACCESSORIES,352776,"80"" LADDER TRELLIS",1003933837,028-023-005-TRELLIS/SHEP HOOKS/ARBOR,028-023-005,28-SEASONAL/GARDEN,7580.0,1607.0
FENCING,128014,PRO SERIES 6 FT. X 8 FT. WOODBRIDGE,1000341802,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,383.0,0.0
FENCING,UNKNOWN,"4""X6 1/2' PT PINE AG FENCE POST",214840,021-008-012-POST/RAIL,021-008-012,21-LUMBER,75522.0,321.0
FENCING,153665,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345287,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,,0.0
FENCING,201566,3.5 FT. X 6 FT. CEDAR FENCE GATE WIT,1001276249,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,100.0,0.0
HOME & MOBILE ELECTRONIC,216604,WRLSS WHITE PLUG-IN DOORBELLKIT-2 PB,1001369788,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,172.0,
FENCING,320894,2 FT. X 6 FT. GRAY CEDAR FENCE PANEL,1002991986,021-008-009-WRC PANELS,021-008-009,21-LUMBER,1038.0,
LANDSCAPE,95882,32 IN. BRONZE SQUARE BLAUSTER STAIR,1000340082,021-007-060-S/O LANDSCAPE,021-007-060,21-LUMBER,,
BOARDS,283978,1 IN. X 6 IN. X 8 FT. SQUARE EDGE PI,1002342426,021-005-010-HARDWOOD,021-005-010,21-LUMBER,1708.0,
FENCING,153597,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000344263,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,15.0,
PLYWOOD,438072,12 IN. FRENCH CLEAT RAILS (2-PACK),1005911651,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,226.0,
PRESSURE TREATED/DECKING,UNKNOWN,2X10-10FT #1 PT GC,1001787262,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,278428.0,5967.0
PRESSURE TREATED/DECKING,UNKNOWN,1X4-12FT D-GRD PT GC WEATHERSHIELD,1001786852,021-020-006-PT BOARDS,021-020-006,21-LUMBER,510552.0,7282.0
LAWN ACCESSORIES,309165,"60"" BARRELL TRELLIS",1002806939,028-023-005-TRELLIS/SHEP HOOKS/ARBOR,028-023-005,28-SEASONAL/GARDEN,106178.0,6317.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-8FT #1 PT WEATHERSHIELD GC,1001787120,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,1272787.0,10021.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X4-12FT PREM PT WEATHERSHIELD,238007,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,85670.0,2523.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-10FT PREM PT CEDAR-TNE WHRSHLD,1000004730,021-020-003-PT WATER REPELLANTLUMBER,021-020-003,21-LUMBER,624205.0,16999.0
DIMENSIONAL LUMBER,UNKNOWN,2X4-14FT #2 PRIME KD SYP,583997,021-003-002-NARROW,021-003-002,21-LUMBER,15188.0,729.0
DIMENSIONAL LUMBER,UNKNOWN,2X6-8FT #2 PRIME KD SYP,369774,021-003-002-NARROW,021-003-002,21-LUMBER,70069.0,1789.0
CONCRETE,UNKNOWN,"3/8""X2' #3 REBAR",363973,022-009-009-CONCRETE FORMING PRODUCT,022-009-009,22-BUILDING MATERIALS,126963.0,8872.0
BOARDS,UNKNOWN,1X8-12FT SHIPLAP BOARD,702102,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,,
FENCING,196312,6 FT. ALUMINUM CEDAR-TONE SOUTHERN Y,1000342568,021-008-012-POST/RAIL,021-008-012,21-LUMBER,4146.0,0.0
LANDSCAPE,187671,6' WRC PRE-ASSEMB ALUM RAIL,1000045789,021-007-006-SPECIALTY,021-007-006,21-LUMBER,19607.0,884.0
LANDSCAPE,108125,POST CAP 4X4 VERONA COPPER HI PT WRC,482002,021-007-006-SPECIALTY,021-007-006,21-LUMBER,17022.0,1315.0
PRESSURE TREATED/DECKING,UNKNOWN,5/4X6-12FT STD PT GC WEATHERSHIELD,1001754827,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,4549827.0,78674.0
LANDSCAPE,172977,6' PT STAIR RAIL KIT W/ALUM BALUSTER,1000340581,021-007-006-SPECIALTY,021-007-006,21-LUMBER,8864.0,0.0
LANDSCAPE,235955,SECONDARY HANDRAIL ADJUSTABLE JOINER,1001687558,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,2562.0,4323.0
PLYWOOD,209961,3/4 2X4 OKOUME VIROLA PLYWOOD,209961,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,15587.0,377.0
PRESSURE TREATED/DECKING,253904,2X6-16FT #1 RED PT GC WEATHERSHLD,1001802269,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,551352.0,8132.0
FENCING,128015,PRO SERIES 6 FT. X 8 FT. VINYL TAN W,1000342404,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,360.0,0.0
PRESSURE TREATED/DECKING,188903,4 IN. X 4 IN. CEDAR TIFFANY GRAPEVIN,1000347761,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,536.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X4-8FT #1 PT WEATHERSHIELD,254258,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,644863.0,
FENCING,144061,"5""X5"" PEARL STYLEPOINT POST CAP",1000109874,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,174.0,0.0
FENCING,UNKNOWN,DIS 8' GRN TREATED RAIL ROUND,1001088156,021-008-018-EVENTS,021-008-018,21-LUMBER,0.0,
DIMENSIONAL LUMBER,201570,CEDAR GARDEN ARBOR KIT,1001277636,021-003-006-KITS & HARDWARE,021-003-006,21-LUMBER,11.0,
BOARDS,311338,1 IN. X 6 IN. X 8 FT. SUNRISE YELLOW,1003009786,021-005-010-HARDWOOD,021-005-010,21-LUMBER,135.0,
FENCING,125498,BLACK STAINLESS STEEL CORNER HINGE,1000342463,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,58.0,
FENCING,153578,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345251,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,7.0,
LANDSCAPE,75072,6 IN. X 6 IN. WESTERN RED CEDAR JEWE,1001731306,021-007-006-SPECIALTY,021-007-006,21-LUMBER,111.0,
FENCING,274478,1 IN. X 6 IN. X 6 FT. WESTERN RED CE,1002243584,021-008-008-WRC PICKETS,021-008-008,21-LUMBER,2121.0,
FENCING,UNKNOWN,DIS 6'X8' STAINED WW DE PRIVACY,1001088126,021-008-018-EVENTS,021-008-018,21-LUMBER,1.0,
BOARDS,349786,1 IN. X 8 IN. X 8 FT. TIMELESS FARMH,1003912141,021-005-010-HARDWOOD,021-005-010,21-LUMBER,834.0,
FENCING,344293,1/2 IN. X 6 IN. X 6 FT. DOG EAR BRAZ,1003581658,021-008-004-PRESSURE TREATED PICKETS,021-008-004,21-LUMBER,588.0,
HARDSCAPES,430923,1 IN. X 12 IN. X 12 IN. SQUARE POLYP,1005894543,028-028-014-STEP STONES,028-028-014,28-SEASONAL/GARDEN,2.0,
FENCING,154036,PRO SERIES 6 FT. X 5 FT. ANAHEIM PAT,1000345265,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,2.0,
BOARDS,UNKNOWN,1X6-8 FT. BARNWOOD WHITE SHIPLAP,1001818260,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,191353.0,35984.0
FENCING,136852,"6'X8' PT 6"" BRD-ON-BRD PNL 2X4 BKR",1005172269,021-008-005-PRESSURE TREATED PANELS,021-008-005,21-LUMBER,6712.0,307.0
FENCING,UNKNOWN,DIS PT SPACED CONCAVE 1X4,1001195573,021-008-018-EVENTS,021-008-018,21-LUMBER,52.0,0.0
BOARDS,UNKNOWN,1X4-12FT COMMON BOARD,914738,021-005-002-WHITEWOOD,021-005-002,21-LUMBER,49349.0,1975.0
FENCING,318737,3.5X8 CDR SPACED FG PRIMED PNL,1002921353,021-008-009-WRC PANELS,021-008-009,21-LUMBER,37269.0,661.0
PRESSURE TREATED/DECKING,UNKNOWN,2X4-8FT #2 PT GC,1001753849,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,29465555.460000005,429419.0
DIMENSIONAL LUMBER,UNKNOWN,2X3-16FT ROUGH EXPSD PATIO DOUG FIR,409325,021-003-002-NARROW,021-003-002,21-LUMBER,37963.0,1014.0
DIMENSIONAL LUMBER,157214,WOODEN CORNHOLE TOSS GAME SET WITH H,1000338511,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,385.0,0.0
BOARDS,UNKNOWN,2X4-12FT PRMD FASCIA BOARD,108120,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,2390.0,448.0
BOARDS,299794,1X6-12FT BARNWOOD SHIPLAP BOARD,1002666179,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,291406.0,34117.0
BOARDS,282271,1X6 8' SHIP LAP CHARRED WOOD,1002308146,021-005-008-PATTERN STOCK,021-005-008,21-LUMBER,30.0,1.0
LANDSCAPE,UNKNOWN,ADA 180DEG RETURN LOOP WHITE,637397,021-007-007-HANDRAIL PROGRAMS,021-007-007,21-LUMBER,163.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,2X6-12FT #2PRIME PT CDR-TN WHRSHL GC,1001802084,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,804427.0800000001,16157.0
FENCING,320039,6X8 CEDAR DE FENCE PANEL,1002955260,021-008-009-WRC PANELS,021-008-009,21-LUMBER,36816.0,1512.0
BOARDS,UNKNOWN,1X4-8FT PRMD FASCIA BOARD,107018,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,11625.0,2206.0
PRESSURE TREATED/DECKING,UNKNOWN,2X4-12FT #1 PT WEATHERSHIELD GC,1001787124,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,614194.25,12657.0
HOME & MOBILE ELECTRONIC,245822,WIRELESS 8-NOTE PLUG-IN DOORBELL,1000504420,027-031-004-DOORBELLS,027-031-004,27-ELECTRICAL AND LIGHTING,97.0,0.0
BOARDS,326262,1 IN. X 8 IN. X 6 FT. BARN WOOD CHAR,1003521518,021-005-010-HARDWOOD,021-005-010,21-LUMBER,745.0,
DIMENSIONAL LUMBER,UNKNOWN,3 FT. X 3 FT. WESTERN RED CEDAR RAIS,1001712472,021-003-006-KITS & HARDWARE,021-003-006,21-LUMBER,194.0,
DIMENSIONAL LUMBER,284528,TAKE-AND-PLAY CORNHOLE TOSS GAME SET,1002549214,021-003-063-S/O KITS & HARDWARE,021-003-063,21-LUMBER,3.0,
LANDSCAPE,UNKNOWN,8FT VERANDA WALNUT LATTICE CAP,1000339969,021-007-002-LATTICE,021-007-002,21-LUMBER,34.0,
PRESSURE TREATED/DECKING,153696,5 IN. X 5 IN. VINYL ANAHEIM WALNUT N,1000348084,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,126.0,0.0
PRESSURE TREATED/DECKING,106452,2-STEP PINE PRESSURE-TREATED STAIR S,1000347673,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,5409.0,6.0
PRESSURE TREATED/DECKING,UNKNOWN,1X3-12FT PT WEATHERSHIELD,505294,021-020-006-PT BOARDS,021-020-006,21-LUMBER,80796.0,3481.0
LANDSCAPE,145818,"POST CAP 4""X4"" COTTAGE PYRAMID RWD",590203,021-007-006-SPECIALTY,021-007-006,21-LUMBER,19106.0,810.0
FENCING,UNKNOWN,4'X4' LAFAYETTE VINYL GATE KIT,277394,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,-1.0,
LANDSCAPE,UNKNOWN,4 STEP PT STAIR STRINGER,1000291565,021-007-006-SPECIALTY,021-007-006,21-LUMBER,3237.0,0.0
PRESSURE TREATED/DECKING,UNKNOWN,4X6-8FT #2 PT GC_CS,600956,021-020-005-PT TIMBERS,021-020-005,21-LUMBER,4231.0,101.0
FENCING,153620,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345083,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,16.0,0.0
FENCING,154078,PRO SERIES 6 FT. X 5 FT. SINGLE WALK,1000345323,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,25.0,0.0
BOARDS,99448,"10"" CHROME SLATWALL HOOK",301622,021-005-020-SPECIALTY,021-005-020,21-LUMBER,13268.0,804.0
SIDING,705984,"19/32"" 4'X10' T1-11 8"" OC FIR SIDING",705984,021-002-002-PLYWOOD,021-002-002,21-LUMBER,4712.0,133.0
LANDSCAPE,279487,DECK RAILING TABLE HARDWARE KIT,1002692328,021-007-006-SPECIALTY,021-007-006,21-LUMBER,813.0,317.0
PRESSURE TREATED/DECKING,UNKNOWN,2X10-8FT #1 PT,342640,021-020-002-PT DIMENSIONAL LUMBER,021-020-002,21-LUMBER,42350.0,
PLYWOOD,UNKNOWN,23/32 2X2 BCX PLYWOOD,300950,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,1289817.5,23783.0
BOARDS,UNKNOWN,2X2-8FT STRIP,165360,021-005-011-FURRING,021-005-011,21-LUMBER,13089512.809999999,123267.5
FENCING,146249,"48"" 2 HOLE CEDAR LINE POST",310624,021-008-012-POST/RAIL,021-008-012,21-LUMBER,36446.0,1230.0
LANDSCAPE,UNKNOWN,"4""X4"" VERONA BLACK POST CAP",1000291476,021-007-006-SPECIALTY,021-007-006,21-LUMBER,5169.0,0.0
PRESSURE TREATED/DECKING,141783,11 IN. BLACK LEAF DECORATIVE FASCIA,1000347341,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,102.0,0.0
FENCING,144755,PRO SERIES 8-1/6 FT. X 5 IN. X 5 IN.,1000341866,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,1296.0,0.0
FENCING,154071,PRO SERIES 6 FT. X 4 FT. SINGLE WALK,1000344671,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,2.0,
PRESSURE TREATED/DECKING,153702,5 IN. X 5 IN. VINYL ANAHEIM BARN RED,1000348033,021-020-004-COMPOSITE DECK/RAIL,021-020-004,21-LUMBER,28.0,
FENCING,153812,PRO SERIES 8-1/2 FT. X 5 IN. X 5 IN.,1000345113,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,2.0,
BOARDS,284273,1 IN. X 2 IN. X 8 FT. BARN WOOD DARK,1002461375,021-005-010-HARDWOOD,021-005-010,21-LUMBER,197.0,
BOARDS,334183,1 IN. X 6 IN. X 6 FT. SMOKE WHITE CH,1003364131,021-005-010-HARDWOOD,021-005-010,21-LUMBER,44.0,
LAWN ACCESSORIES,268312,24 IN X 24 IN RED RUSTIC RAISED GARD,1002428796,028-023-012-GREEN GARDENING,028-023-012,28-SEASONAL/GARDEN,40.0,
BUILDER'S HARDWARE,UNKNOWN,4 IN. X 4 IN. X 72 IN. WESTERN RED A,1001756429,025-004-016-MAILBOXES/POSTS,025-004-016,25-HARDWARE,7.0,
METAL PRODUCTS,UNKNOWN,UFP_S/O_22-14-60_METALPRODUCTS,1001837346,022-014-060-S/O METAL PRODUCTS,022-014-060,22-BUILDING MATERIALS,359.0,
FENCING,323082,2 IN. X 3 IN. X 8 FT. BLACK STAINED,1003837743,021-008-017-DIMENSIONAL CEDAR,021-008-017,21-LUMBER,263.0,
DIMENSIONAL LUMBER,192869,LAMINATED DRY ERASE BOARD KNOCK DOWN,1000338151,021-003-006-KITS & HARDWARE,021-003-006,21-LUMBER,3.0,
LANDSCAPE,UNKNOWN,"6""X6"" NEWBURY CLASSIC PT POST CAP",786085,021-007-006-SPECIALTY,021-007-006,21-LUMBER,8817.0,
FENCING,209355,5 IN. X 5 IN. X 5 FT. VINYL TAN RANC,1001248913,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,103.0,0.0
FENCING,181981,4 FT. X 3-1/2 FT. GLENDALE SPACED PI,1000099495,021-008-060-S/O WOOD FENCING,021-008-060,21-LUMBER,1372.0,0.0
PLYWOOD,UNKNOWN,19/32 2X4 ATTIC DECKING,555450,021-001-006-PROJECT PANELS,021-001-006,21-LUMBER,331119.0,9882.0
BOARDS,UNKNOWN,2X4-16FT COMBED FASCIA,747939,021-005-009-TRIM BOARDS,021-005-009,21-LUMBER,54.0,0.0
FENCING,144730,PRO SERIES 4 FT. X 8 FT. VINYL WOODB,1000342078,021-008-014-VINYL PANELS,021-008-014,21-LUMBER,1818.0,5.0
PRESSURE TREATED/DECKING,UNKNOWN,PRESSURE-TREATED 6 IN. X 6 IN. PINE,1000347450,021-020-060-S/O PRSSR TRTD WOOD PROD,021-020-060,21-LUMBER,,0.0
FENCING,UNKNOWN,"4""X6-1/2' PT ROUND POST",846486,021-008-012-POST/RAIL,021-008-012,21-LUMBER,31108.0,982.0
