C_State_Territory_Code,C_d_Market,C_d_Market_Nbr,C_d_Store,C_d_Store_Nbr,C_Str_OH_units_wkly,C_sales
CA,0048-LA,0048,6664-COSTA MESA,6664,6251.0,1214832.499999989
FL,0003-ORL/MEL/DAYTONA,0003,0232-SOUTHLAND,0232,15843.0,4001791.629999974
MI,0072-DETROIT,0072,2758-SHELBY TOWNSHIP,2758,13849.0,5523171.869999831
KS,0147-WICHITA,0147,2207-TOPEKA,2207,2334.0,311190.8100000004
NY,0065-WAPPING/WALLKILL,0065,1227-KINGSTON/ULSTER,1227,4431.0,352504.4600000047
CA,0029-SACRAMENTO,0029,8426-DELANO,8426,5954.0,478296.79000000487
TX,0016-DALLAS/FT WORTH,0016,6520-CLEBURNE,6520,20486.0,6201409.060000162
IL,0075-CHICAGO,0075,"6919-FRANKFORT,IL",6919,11668.0,3107670.46000009
CA,0048-LA,0048,6629-MONROVIA,6629,6994.0,1616236.8899999869
CA,0012-SAN DIEGO,0012,1053-ESCONDIDO II,1053,11962.0,2359118.8299998133
NV,0063-RENO,0063,3304-N RENO,3304,5257.0,1039938.7099998567
TX,0016-DALLAS/FT WORTH,0016,0542-FT WORTH,0542,26414.0,5539774.300000292
FL,0002-MIAMI/FTL/WPALM,0002,6330-W PALM BEACH,6330,18403.0,3588555.3199999463
NM,0087-ALBUQUERQUE,0087,3507-SW ALBUQUERQUE,3507,10614.0,3352302.9999998747
WI,0602-WISCONSIN RAPIDS,0602,4942-WISCONSIN RAPIDS,4942,9444.0,4297306.77999988
MN,0101-MINNESOTA,0101,2840-MONTICELLO,2840,12176.0,4619218.97999979
MD,0043-WASHINGTON DC,0043,2589-S ANNAPOLIS,2589,5484.0,1259650.859999939
GA,0001-ATLANTA,0001,0134-CUMMING,0134,5530.0,1009942.5199999688
TX,0163-WACO,0163,6532-WACO,6532,33001.0,8061948.590000523
WY,0505-CASPER,0505,6002-CHEYENNE,6002,8901.0,2682774.7900001826
FL,0002-MIAMI/FTL/WPALM,0002,3331-DORAL,3331,22812.0,1942168.6799999434
PA,0034-PHIL/PA/NJ/DE,0034,4102-OXFORD VALLEY,4102,5227.0,1045417.4199999581
NY,0116-NEW YORK CITY,0116,1215-OZONE PARK,1215,9945.0,5205437.239999797
MI,0143-BAY CITY,0143,2717-BURTON,2717,4631.0,801575.4500000039
TX,0073-EL PASO,0073,0523-W EL PASO,0523,5680.0,1845633.249999909
NM,0087-ALBUQUERQUE,0087,3511-LOS LUNAS,3511,10173.0,2667244.4099998362
PA,0034-PHIL/PA/NJ/DE,0034,4132-LOWER POTTSGROVE,4132,5640.0,1098791.859999956
IN,0276-INDIANAPOLIS,0276,2037-CARMEL,2037,13442.0,2884475.1500000055
AL,0097-COLUMBUS,0097,0816-AUBURN (OPELIKA),0816,4249.0,592133.659999981
FL,0004-TAMPA/ST.PETE,0004,6340-SEBRING,6340,4082.0,672727.7899999877
MA,0039-BOSTON/MA/NH,0039,2665-W ROXBURY,2665,10613.0,3471591.119999859
MD,0043-WASHINGTON DC,0043,2501-GLEN BURNIE,2501,4231.0,1641309.7599999541
VA,0176-RICHMOND,0176,4632-INTOWN (RICHMOND),4632,27867.0,7876279.679999625
GA,0001-ATLANTA,0001,6986-BUCKHEAD,6986,28015.0,9728439.879999654
MN,0101-MINNESOTA,0101,2805-BLOOMINGTON,2805,14448.0,4158887.8199997316
AZ,0134-PRESCOTT,0134,0421-FLAGSTAFF EAST,0421,6044.0,1523297.609999716
NJ,0015-NEW JERSEY,0015,0965-MONTVILLE,0965,10659.0,3933153.579999935
FL,0004-TAMPA/ST.PETE,0004,0289-PINELLAS PARK,0289,6165.0,769200.9099999703
AL,0089-BIRMINGHAM,0089,0882-FAIRFIELD,0882,1641.0,178861.6800000003
NY,0116-NEW YORK CITY,0116,1248-YONKERS,1248,8971.0,7952840.92999983
CT,0010-HARTFORD/S CONN,0010,6217-WALLINGFORD,6217,3212.0,835730.7300000068
CA,0047-INLAND/DESERT,0047,1844-NW VICTORVILLE,1844,11064.0,1089538.3200000038
NJ,0015-NEW JERSEY,0015,0927-HAMILTON,0927,6210.0,1369834.4399998863
AL,0531-OXFORD,0531,"0866-OXFORD,AL",0866,27331.0,3409889.479999929
CT,0010-HARTFORD/S CONN,0010,6229-BRISTOL,6229,7808.0,4633356.659999951
CA,0029-SACRAMENTO,0029,8529-SELMA,8529,5103.0,1226969.0099999455
FL,0004-TAMPA/ST.PETE,0004,6371-WINTER HAVEN,6371,18532.0,4566821.470000001
PA,0068-PENNSYLVANIA,0068,4177-NEW FREEDOM,4177,13779.0,6887160.0700000925
VA,0043-WASHINGTON DC,0043,8552-WARRENTON,8552,19808.0,9095852.179999819
CA,0048-LA,0048,1055-NEWHALL,1055,5006.0,862272.6799999839
UT,0076-UTAH,0076,4417-AMERICAN FORK,4417,3724.0,1065396.4399999427
TX,0016-DALLAS/FT WORTH,0016,8517-GRAND PRAIRIE SOUTH,8517,11255.0,442445.55000000657
CA,0021-SAN FRANCISCO BAY,0021,6667-WINDSOR,6667,5975.0,1104462.8099998985
PA,0068-PENNSYLVANIA,0068,6956-HONESDALE,6956,15105.0,5788155.579999916
CA,0196-PALM SPRINGS,0196,6630-LA QUINTA,6630,4528.0,1092792.079999893
WA,0044-SEA/TAC,0044,4713-EVERETT,4713,3431.0,1220016.229999831
TX,0016-DALLAS/FT WORTH,0016,0598-FOREST LANE,0598,5044.0,43500.26999999998
MO,0109-ST. LOUIS,0109,3010-SOUTH COUNTY,3010,15288.0,8067064.209999961
WI,0606-MUKWONAGO,0606,4921-MUKWONAGO,4921,8310.0,3232046.9099999
TX,0008-HOUSTON,0008,8518-BRENHAM,8518,3641.0,357448.73999999533
NJ,0015-NEW JERSEY,0015,0925-DOVER,0925,11135.0,5852192.2499998
AR,0518-BATESVILLE,0518,1411-BATESVILLE,1411,2689.0,170487.39000000228
VA,0177-NORFOLK,0177,4615-MILITARY CIRCLE,4615,37273.0,15760132.639998917
OR,0054-PORTLAND,0054,"4009-ALBANY,OR",4009,3388.0,899992.459999912
TN,0009-KNOXVILLE,0009,0731-CENTERLINE,0731,1794.0,513735.250000006
CA,0048-LA,0048,6640-SIMI VALLEY,6640,5354.0,1182670.979999988
NJ,0015-NEW JERSEY,0015,0916-WOODBRIDGE,0916,10348.0,3877732.969999975
TX,0040-SAN ANTONIO,0040,0581-CAMBRAY,0581,19113.0,6013550.0499999765
MI,0143-BAY CITY,0143,2779-THOMAS TOWNSHIP,2779,5995.0,417546.5900000038
IA,0576-CLINTON MKT,0576,2113-CLINTON,2113,12655.0,3738098.369999975
CA,0012-SAN DIEGO,0012,6656-SAN MARCOS,6656,10836.0,1673606.8199998555
CA,0048-LA,0048,6965-ORANGE (K),6965,5491.0,1234193.1099999736
CT,0010-HARTFORD/S CONN,0010,6230-WINDHAM,6230,7112.0,4974648.21999998
OK,0058-OKLAHOMA CITY,0058,3917-MOORE,3917,17302.0,4178453.2800003844
CA,0047-INLAND/DESERT,0047,6619-RIVERSIDE,6619,9957.0,2392928.029999955
AZ,0006-PHOENIX,0006,0478-MARANA (NW TUCSON),0478,6371.0,1628754.8699997382
CA,0048-LA,0048,1031-ATASCADERO,1031,5004.0,862676.7999999867
IA,0064-EASTERN IOWA,0064,2108-CEDAR RAPIDS,2108,12962.0,1851005.3600000048
OH,0139-CLEVELAND,0139,3842-HIGHLAND HEIGHTS,3842,4071.0,701466.2300000072
CA,0029-SACRAMENTO,0029,8524-CRESCENT CITY,8524,7376.0,416949.06999999576
GA,0001-ATLANTA,0001,0172-LOGANVILLE,0172,10134.0,653178.3299999885
AL,0018-MOBILE,0018,0865-MOBILE,0865,958.0,96136.59999999986
CA,0021-SAN FRANCISCO BAY,0021,0640-KIFER RD,0640,4162.0,810786.4799999442
TX,0040-SAN ANTONIO,0040,6988-SE MILITARY,6988,22944.0,7539558.969999882
NC,0282-DURHAM/RALEIGH,0282,3663-KNIGHTDALE,3663,37038.0,6094939.95999991
AZ,0006-PHOENIX,0006,0403-LAKE HAVASU CITY,0403,3698.0,714466.3599999214
AZ,0134-PRESCOTT,0134,0416-KINGMAN,0416,4639.0,1434535.919999842
OH,"0157-COLUMBUS,OH",0157,6954-GROVE CITY,6954,10081.0,5950880.099999808
TX,0307-ABILENE,0307,6807-SAN ANGELO,6807,17587.0,3514406.3599999323
CA,0029-SACRAMENTO,0029,6609-CHICO,6609,7437.0,1000035.699999899
NJ,0015-NEW JERSEY,0015,0910-SECAUCUS,0910,9262.0,2955453.519999935
DE,0034-PHIL/PA/NJ/DE,0034,1603-GLASGOW,1603,6368.0,857899.1299999802
FL,0025-FT.MYERS/NAPLES,0025,6950-PUNTA GORDA,6950,15687.0,4369164.779999831
FL,0003-ORL/MEL/DAYTONA,0003,6335-PORT ORANGE,6335,17074.0,6911581.440000101
IL,0075-CHICAGO,0075,1919-NORTHLAKE,1919,8558.0,559386.7800000086
FL,0025-FT.MYERS/NAPLES,0025,6373-BONITA SPRINGS,6373,20220.0,5810159.869999926
WI,0164-MILWAUKEE,0164,4923-WAUWATOSA,4923,11374.0,3141993.269999953
MN,"0584-GRAND RAPID, MN",0584,"2834-GRAND RAPIDS,MN",2834,12710.0,5719016.8099997435
LA,0005-NEW ORLEANS,0005,"0347-HAMMOND,LA",0347,1866.0,92639.08000000007
GA,0001-ATLANTA,0001,8527-THOMASTON,8527,5407.0,647893.4599999863
NY,0116-NEW YORK CITY,0116,1245-NEW ROCHELLE,1245,9745.0,5791544.13999985
MI,0072-DETROIT,0072,2773-FARMINGTON HILLS,2773,9118.0,2058181.3499999398
CA,0021-SAN FRANCISCO BAY,0021,0641-ROHNERT PK,0641,5917.0,1311681.1099999405
MN,0101-MINNESOTA,0101,2807-MINNEAPOLIS NE,2807,16692.0,5394872.949999664
FL,0002-MIAMI/FTL/WPALM,0002,6353-MIRAMAR,6353,26330.0,5523645.869999878
MA,0039-BOSTON/MA/NH,0039,2613-WAREHAM,2613,11665.0,4598850.579999819
TX,0122-LUBBOCK,0122,0562-ODESSA,0562,13085.0,5667969.549999841
NJ,0015-NEW JERSEY,0015,0954-UNION - RT 22,0954,11804.0,4502928.76999991
AZ,0006-PHOENIX,0006,0420-SCOTTSDALE-SHEA,0420,5403.0,996853.8599998783
NY,0066-BUFFALO,0066,6161-OLEAN,6161,5096.0,617712.0299999947
VA,0176-RICHMOND,0176,4627-SW RICHMOND,4627,36696.0,10608538.459999831
NC,0045-CHARLOTTE,0045,3646-S BOULEVARD CHARLOTTE,3646,12469.0,3672141.7100000456
NJ,0202-VILLAGER'S HARDWARE,0202,6905-VH-ELIZABETH,6905,1625.0,200497.48000000144
CA,0029-SACRAMENTO,0029,1020-TRACY,1020,5487.0,1040914.5399999102
NY,0116-NEW YORK CITY,0116,1238-SPRINGFIELD GARDENS,1238,8306.0,2640918.419999947
MO,0109-ST. LOUIS,0109,3007-SUNSET HILLS,3007,15121.0,6141151.069999887
IN,"0607-AUBURN, IN",0607,"2024-AUBURN,IN",2024,12944.0,4668212.260000001
GA,0001-ATLANTA,0001,0151-PAULDING COUNTY,0151,33152.0,14878683.14999968
TX,0008-HOUSTON,0008,0584-BELTWAY 8,0584,3532.0,772489.3199999222
VA,0177-NORFOLK,0177,4650-GLOUCESTER,4650,23246.0,5002115.279999929
CA,0048-LA,0048,1010-INGLEWOOD,1010,4531.0,551679.3300000054
NJ,0015-NEW JERSEY,0015,0959-PATERSON,0959,10934.0,5878668.869999828
LA,0005-NEW ORLEANS,0005,0370-SE BATON ROUGE,0370,1165.0,123198.98999999996
TN,0009-KNOXVILLE,0009,0724-MARYVILLE,0724,1677.0,756671.4099999814
NE,0371-CEN NEBRASKA,0371,3209-N LINCOLN,3209,10331.0,3479954.739999773
MN,0101-MINNESOTA,0101,2821-ELK RIVER,2821,17700.0,3258827.2499998286
MI,0072-DETROIT,0072,2708-UTICA,2708,9723.0,2874808.999999937
SC,0026-COL/GRNVLL/SPTNBG,0026,1112-W COLUMBIA,1112,3156.0,399684.659999999
TX,0008-HOUSTON,0008,0577-BRINKMAN,0577,10887.0,924246.2799999204
TX,0008-HOUSTON,0008,6859-HILLCROFT,6859,37363.0,10986342.7100003
FL,0004-TAMPA/ST.PETE,0004,0288-HOLIDAY,0288,5502.0,772717.0099999785
CA,0021-SAN FRANCISCO BAY,0021,1044-HERCULES,1044,4214.0,862272.1299999285
NV,0036-LAS VEGAS,0036,3303-E LAS VEGAS,3303,3744.0,1010130.1099997981
TN,0019-NASHVILLE,0019,"0726-CLARKSVILLE, TN",0726,984.0,225273.81
FL,0003-ORL/MEL/DAYTONA,0003,0266-E COLONIAL,0266,19752.0,8127951.179999899
WY,0076-UTAH,0076,6003-ROCK SPRINGS,6003,3082.0,793958.1300000013
CA,0047-INLAND/DESERT,0047,6972-BARSTOW,6972,5849.0,623510.0000000026
NJ,0015-NEW JERSEY,0015,"0919-RIVERDALE, NJ",0919,12035.0,8258335.039999705
AK,"0186-ANCHORAGE,ALASKA",0186,8940-SE ANCHORAGE,8940,3472.0,366141.770000008
NH,0260-NEW HAMPSHIRE,0260,3407-NORTH CONWAY,3407,9220.0,3648607.5599998976
CO,0051-COLORADO,0051,1519-LITTLETON,1519,8354.0,4541114.230000261
NJ,0015-NEW JERSEY,0015,0947-BRIDGEWATER - RT 28,0947,13937.0,6544754.239999674
OH,0156-CINCINNATI,0156,3822-WESTERN HILLS,3822,15903.0,6446716.27999982
IL,0075-CHICAGO,0075,1938-VERNON HILLS,1938,9458.0,1775066.3999999734
GA,0001-ATLANTA,0001,8924-CALHOUN,8924,5500.0,849200.9499999746
GA,0572-AUGUSTA,0572,1747-AUGUSTA NORTH,1747,2008.0,326400.0100000006
AZ,0006-PHOENIX,0006,0480-CAVE CREEK,0480,6251.0,1526560.0399997705
GA,0001-ATLANTA,0001,"8584-GREENSBORO,GA",8584,4172.0,450162.0399999941
FL,0004-TAMPA/ST.PETE,0004,6380-RIVERVIEW,6380,16852.25,4687316.490000003
TX,0016-DALLAS/FT WORTH,0016,6809-W MCKINNEY,6809,22537.0,2733263.529999763
FL,0025-FT.MYERS/NAPLES,0025,1855-ENGLEWOOD,1855,11952.0,3925496.27000001
OH,0156-CINCINNATI,0156,3812-BEECHMONT,3812,18100.0,9275160.48999974
MD,0043-WASHINGTON DC,0043,2560-GERMANTOWN,2560,6272.0,1625690.2099999057
CA,0029-SACRAMENTO,0029,6966-ARDEN ARCADE,6966,5746.0,1139395.0099998985
NY,0086-ALBANY,0086,1239-SCHENECTADY,1239,2391.0,621496.4799999981
TX,0231-AMARILLO,0231,6552-AMARILLO,6552,17189.0,3333872.589999996
PA,0106-PITTSBURGH,0106,"4130-HERMITAGE,PA",4130,4794.0,599106.1500000035
CA,0048-LA,0048,2304-MONTEREY PARK,2304,4742.0,533905.6900000037
OR,0054-PORTLAND,0054,4026-THE DALLES,4026,2707.0,892489.6099998921
GA,0001-ATLANTA,0001,1750-BLAIRSVILLE,1750,28192.0,9372851.230000185
CA,0048-LA,0048,6646-HUNTINGTON BEACH II,6646,5250.0,1083729.1599999953
TX,0016-DALLAS/FT WORTH,0016,6513-N FRISCO,6513,28326.0,4072735.1000000103
AZ,0006-PHOENIX,0006,0447-PHOENIX (51ST/BASELINE),0447,4930.0,705593.399999931
IL,0075-CHICAGO,0075,1964-BARTLETT,1964,5645.0,357838.8900000007
NY,0020-LONG ISLAND,0020,1267-FARMINGDALE,1267,9693.0,6069188.159999775
MI,0072-DETROIT,0072,2742-LIVONIA,2742,8190.0,1017260.1299999929
IL,0075-CHICAGO,0075,6923-SOUTH ELGIN,6923,9265.0,1555368.0599999705
NY,0020-LONG ISLAND,0020,6955-CENTRAL ISLIP,6955,10729.0,5546652.6199999405
UT,0076-UTAH,0076,4403-21ST SOUTH,4403,3272.0,991300.4599999513
CA,0021-SAN FRANCISCO BAY,0021,1379-SANTA ROSA,1379,4937.0,1249463.5099998764
NY,0093-ROCHESTER,0093,6846-AUBURN,6846,3615.0,268027.8800000004
PA,0068-PENNSYLVANIA,0068,4164-EAST READING,4164,12557.0,2696086.9899999835
FL,0028-GAINES/OCALA,0028,0253-OCALA,0253,4703.0,5750210.800000046
IL,0075-CHICAGO,0075,6887-YORKVILLE,6887,10063.0,1701454.6999999636
AK,"0186-ANCHORAGE,ALASKA",0186,1302-NE ANCHORAGE,1302,2548.0,382256.3800000009
NY,0268-NY - URBAN,0268,6150-STATEN ISLAND EAST,6150,8081.0,2960984.229999997
PR,0133-PUERTO RICO,0133,6407-MAYAGUEZ,6407,22026.589999999997,12152500.180001458
ME,0112-MAINE,0112,2405-BIDDEFORD,2405,7971.0,1139740.5299999525
WI,0164-MILWAUKEE,0164,4909-WEST MADISON,4909,8969.0,3449596.610000092
CA,0012-SAN DIEGO,0012,6679-MIRA MESA,6679,10130.0,1939246.2599998545
TX,0016-DALLAS/FT WORTH,0016,0550-WHITE ROCK,0550,27274.0,7031537.699999924
MO,0129-KANSAS CITY,0129,8460-N KANSAS CITY,8460,2761.0,439818.71999999793
MT,0204-WESTERN MONTANA,0204,3106-HELENA,3106,11006.0,4086336.020000273
FL,0025-FT.MYERS/NAPLES,0025,0276-FT MYERS,0276,19111.0,5691577.899999951
TN,0466-SM-TENNESSEE,0466,"0747-WINCHESTER,TN",0747,740.0,105221.80000000006
MD,0043-WASHINGTON DC,0043,2502-WHITE MARSH,2502,4640.0,932707.2599999942
NY,0020-LONG ISLAND,0020,1202-EAST NORTHPORT,1202,8217.0,6618280.089999885
MA,0272-INDIAN ORCHARD,0272,"2619-GREENFIELD,MA",2619,2418.0,327552.6000000057
NC,0282-DURHAM/RALEIGH,0282,3626-FAYETTEVILLE,3626,33411.0,8653338.209999884
CA,0021-SAN FRANCISCO BAY,0021,0628-SAN CARLOS,0628,4201.0,1641677.8499998972
MA,0039-BOSTON/MA/NH,0039,2607-MARLBOROUGH,2607,8047.0,4230310.019999867
TX,0152-MCALLEN,0152,6577-WESLACO,6577,18799.0,9151339.44000008
UT,0076-UTAH,0076,4401-RIVERDALE,4401,3257.0,786699.24
MS,0173-TUPELO,0173,2906-TUPELO,2906,1414.0,174814.26
GA,0001-ATLANTA,0001,0143-DOUGLASVILLE,0143,31686.0,10197889.009999862
NV,0036-LAS VEGAS,0036,3314-SW LAS VEGAS,3314,3729.0,436494.30999995966
MT,0204-WESTERN MONTANA,0204,3102-MISSOULA,3102,13872.0,4189230.5100003364
MD,0043-WASHINGTON DC,0043,2503-CATONSVILLE,2503,3920.0,1091872.4499999858
CA,0047-INLAND/DESERT,0047,0616-MORENO VALLEY,0616,11085.0,1534606.789999993
NJ,0015-NEW JERSEY,0015,0902-LAKEWOOD,0902,10696.0,4116113.209999878
OH,0156-CINCINNATI,0156,3823-WEST CHESTER,3823,11247.0,3420480.5999999414
TX,0016-DALLAS/FT WORTH,0016,6515-WEATHERFORD,6515,25609.0,8555795.440000312
TX,0016-DALLAS/FT WORTH,0016,0529-S FORT WORTH,0529,37900.0,10844765.060000079
FL,0003-ORL/MEL/DAYTONA,0003,6869-ORLANDO SE,6869,17038.0,3764969.7299999213
NJ,0015-NEW JERSEY,0015,0908-CLIFTON,0908,10137.0,4791374.709999904
CT,0010-HARTFORD/S CONN,0010,6213-BRIDGEPORT,6213,3255.0,1343044.8399999924
CA,0048-LA,0048,0620-HAWTHORNE,0620,5475.0,1360779.8399999794
IL,0075-CHICAGO,0075,1913-RANDHURST,1913,9935.0,3284978.969999972
IN,0591-JASPER,0591,2025-JASPER,2025,15617.0,4339204.939999966
GA,0001-ATLANTA,0001,1856-FLOWERY BRANCH,1856,5233.0,804957.7599999865
NJ,0015-NEW JERSEY,0015,0977-PARSIPPANY,0977,8879.0,2446567.2399999853
NY,0116-NEW YORK CITY,0116,1281-STATEN ISLAND SOUTH,1281,9828.0,5360179.269999948
CA,0048-LA,0048,0611-GARDENA,0611,4490.0,1185201.9399999746
AZ,0006-PHOENIX,0006,0476-RAY ROAD,0476,6067.0,928349.9699998818
SD,0207-OMAHA,0207,4301-SIOUX FALLS,4301,14802.0,2762625.37000013
GA,0001-ATLANTA,0001,"0152-GAINESVILLE, GA",0152,4942.0,1021358.729999982
CT,0010-HARTFORD/S CONN,0010,6236-TRUMBULL,6236,3231.0,815480.090000015
CO,0051-COLORADO,0051,1532-STAPLETON,1532,10218.0,5857837.650000054
NH,0260-NEW HAMPSHIRE,0260,"3489-ROCHESTER,NH",3489,9888.0,5353982.469999831
WV,0310-WEST VIRGINIA,0310,"4802-CHARLESTON,WV",4802,7263.0,731136.8000000038
CA,0048-LA,0048,6647-ANAHEIM,6647,4365.0,969831.4999999864
PA,0106-PITTSBURGH,0106,4117-N FAYETTE,4117,5137.0,980347.2800000013
GA,0023-SAVANNAH/HILTON HEAD,0023,0170-EAST SAVANNAH,0170,8262.0,1524786.859999956
CA,0021-SAN FRANCISCO BAY,0021,6968-SOQUEL,6968,6572.0,1210763.6699998807
TX,0231-AMARILLO,0231,6831-E AMARILLO,6831,19766.0,4075680.009999987
ID,0076-UTAH,0076,1809-EAGLE,1809,3404.0,994052.1099999687
CA,0029-SACRAMENTO,0029,1022-W STOCKTON,1022,4946.0,945386.5199999159
TX,0016-DALLAS/FT WORTH,0016,6840-DENTON,6840,37380.0,9725424.12000042
AZ,0006-PHOENIX,0006,0464-TATUM & BELL,0464,5268.0,1450704.6399997373
IL,0075-CHICAGO,0075,1920-CRYSTAL LAKE,1920,12038.0,3014632.019999998
MA,0039-BOSTON/MA/NH,0039,2659-S ATTLEBORO,2659,8404.0,1245896.1199999417
MA,0039-BOSTON/MA/NH,0039,"2688-EVERETT,MA",2688,11116.0,2883912.97999998
TX,0016-DALLAS/FT WORTH,0016,6817-CORSICANA,6817,8267.0,497963.66000000434
CA,0029-SACRAMENTO,0029,6946-TULARE,6946,3461.0,463692.3799999952
IL,0075-CHICAGO,0075,1928-ROCKFORD,1928,12863.25,3618802.5499999383
IL,0234-METRO CHICAGO,0234,1903-BRICKYARD,1903,11894.0,6103924.049999855
SC,0057-MYRTLE BEACH,0057,1121-N MYRTLE BEACH,1121,3492.0,512430.0400000062
NV,0036-LAS VEGAS,0036,3306-S LAS VEGAS,3306,3809.0,920762.7599998234
GA,0001-ATLANTA,0001,"0165-COVINGTON,GA",0165,4126.0,793102.1799999798
TX,0016-DALLAS/FT WORTH,0016,0589-LEMMON AVE,0589,11469.0,824355.9599999418
ID,0076-UTAH,0076,8941-NAMPA,8941,4559.0,1282641.0599999146
AZ,0006-PHOENIX,0006,0442-BULLHEAD CITY,0442,3503.0,608150.7399999594
MI,0577-ALPENA MKT,0577,2760-ALPENA,2760,5347.0,666527.1099999931
IL,0304-CENTRAL ILLINOIS,0304,1979-MARION,1979,6790.0,2016868.7099999865
CA,0048-LA,0048,6668-LAKE FOREST,6668,5022.0,746031.9199999807
IL,0075-CHICAGO,0075,1955-OAK LAWN,1955,9241.0,510712.830000002
MS,0005-NEW ORLEANS,0005,2905-HATTIESBURG,2905,2004.0,73090.60999999999
GA,0447-ATLANTA TEMP,0447,1772-W MACON,1772,20836.0,4421713.119999882
FL,0002-MIAMI/FTL/WPALM,0002,0202-HIALEAH,0202,32605.0,8977850.740000162
TX,0008-HOUSTON,0008,0566-PIN OAK,0566,3769.0,897799.109999896
MD,0043-WASHINGTON DC,0043,2504-TOWSON,2504,5142.0,1301409.549999929
FL,0025-FT.MYERS/NAPLES,0025,6348-SOUTH NAPLES,6348,20579.0,4932664.480000133
AZ,0006-PHOENIX,0006,0453-PEORIA,0453,5643.0,1114303.7599998806
CO,0051-COLORADO,0051,1528-SADDLEROCK,1528,8942.0,3718075.679999921
MI,0416-RURAL NORTHERN EAST,0416,2785-THREE RIVERS,2785,7018.0,1742148.9299999846
CA,0029-SACRAMENTO,0029,0662-STOCKTON,0662,6251.0,776763.6399999263
AZ,0006-PHOENIX,0006,0486-CENTRAL TUCSON (EL CON),0486,6054.0,1907511.219999727
NJ,0015-NEW JERSEY,0015,0941-FLEMINGTON,0941,9813.0,4990175.219999927
FL,0002-MIAMI/FTL/WPALM,0002,6343-FLAGLER II,6343,26758.0,13364648.449999453
KS,0147-WICHITA,0147,"2217-MANHATTAN,KS",2217,1872.0,234716.1200000002
UT,0076-UTAH,0076,4408-CENTERVILLE,4408,4121.0,720339.9099999971
NC,0282-DURHAM/RALEIGH,0282,3605-BATTLEGROUND,3605,21982.0,7603215.919999921
NE,0207-OMAHA,0207,3202-CENTRAL OMAHA,3202,13057.0,4011473.2199999574
NY,0093-ROCHESTER,0093,1278-GATES,1278,6395.0,631076.259999989
MI,0067-GRAND RAPIDS,0067,2720-WALKER,2720,13954.0,6788170.899999854
NC,0282-DURHAM/RALEIGH,0282,3616-RALEIGH,3616,32677.0,7158355.309999822
CT,0010-HARTFORD/S CONN,0010,6226-DERBY,6226,1697.0,970836.5899999924
NJ,0015-NEW JERSEY,0015,0929-DEPTFORD,0929,5001.0,1068422.759999933
NJ,0479-SUPERSTORE,0479,0915-UNION/VAUXHALL,0915,11568.0,8477795.679999901
IL,0075-CHICAGO,0075,1934-ELGIN,1934,14553.0,1902193.529999962
NJ,0068-PENNSYLVANIA,0068,0931-PHILLIPSBURG,0931,12598.0,4397836.499999984
TX,0122-LUBBOCK,0122,6827-E LUBBOCK,6827,19704.0,5197652.979999885
CA,0021-SAN FRANCISCO BAY,0021,6636-FREMONT,6636,5285.0,640715.9499999513
TX,0042-AUSTIN,0042,6808-PFLUGERVILLE,6808,7684.0,741825.3499999994
TX,0249-LONGVIEW,0249,6514-TYLER,6514,5284.0,671501.039999997
AK,0463-JUNEAU,0463,8939-JUNEAU,8939,1710.0,379367.0799999939
MI,0604-PLAINWELL,0604,2771-PLAINWELL,2771,6055.0,674427.4700000086
MO,0148-FAYETTEVILLE,0148,"3012-SPRINGFIELD, MO",3012,3896.0,430057.460000003
CA,0048-LA,0048,6689-CYPRESS PARK,6689,3469.0,1600956.500000001
TX,0249-LONGVIEW,0249,6580-TEXARKANA,6580,2565.0,274612.0799999989
TX,0008-HOUSTON,0008,6507-BAYTOWN,6507,34035.0,12128683.040000807
NH,0260-NEW HAMPSHIRE,0260,3487-PLAISTOW,3487,10197.0,6016769.92999975
NJ,0015-NEW JERSEY,0015,0961-FREEHOLD,0961,8492.0,3360938.1999999727
WA,0044-SEA/TAC,0044,4745-SNOHOMISH,4745,3904.0,1120717.709999873
NJ,0015-NEW JERSEY,0015,0934-LINDEN,0934,10030.0,4940923.869999865
FL,0014-JACKSONVILLE,0014,8531-PALATKA,8531,3256.0,605863.5899999869
CA,0012-SAN DIEGO,0012,1848-EL CAJON (R676),1848,12076.0,3983864.109999615
MO,0109-ST. LOUIS,0109,3018-ELLISVILLE,3018,11064.0,4067832.510000007
NY,0093-ROCHESTER,0093,"6174-WATERTOWN,NY",6174,2858.0,251894.17000000193
AL,0018-MOBILE,0018,0863-DAPHNE,0863,1857.0,119720.1499999998
AL,0089-BIRMINGHAM,0089,0880-EASTWOOD,0880,1303.0,224795.71000000057
PR,0133-PUERTO RICO,0133,6409-LOS COLOBOS (E CAROLINA),6409,29413.510000000002,10716902.570001256
OH,0314-TOLEDO,0314,3848-NE TOLEDO,3848,7034.0,476017.69000000623
NE,0505-CASPER,0505,3210-SCOTTSBLUFF,3210,8245.0,1673368.0899999482
FL,0004-TAMPA/ST.PETE,0004,8929-ZEPHYRHILLS,8929,5422.0,750438.4799999826
CA,0021-SAN FRANCISCO BAY,0021,0632-SAN MATEO,0632,5603.0,1249995.3399998955
TX,0016-DALLAS/FT WORTH,0016,0527-N PLANO,0527,9716.0,968834.4699999441
IL,0234-METRO CHICAGO,0234,8598-LINCOLN & MCCORMICK,8598,12679.0,3849869.5999999936
